,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
125,0,13973,3151,4640,16480,42290,65653,101825,125966,133098,120503,93953,62338,35955,17800,7661,3126,1288,513,277,140,103,84,61,35,18,8,3,2,0,0,0
126,0,11678,5206,969,1963,11247,22906,23183,20300,20566,25701,33974,44790,55799,67614,75448,72943,58305,32414,19820,12547,6477,2892,1429,908,730,579,442,315,136,15,0
127,0,158,1886,33348,82173,44565,63440,116022,156248,153740,112930,65366,33602,16874,8436,4741,3437,2480,2132,1947,1837,1781,1381,671,92,25,0,0,0,0,0,0
128,311,9473,18146,5182,2113,4108,18776,31302,29657,26523,29353,35485,41006,42403,40783,38012,32259,25476,18030,11932,8226,5549,3792,2663,1986,1575,1528,1817,2302,2796,3293,3343
129,0,194,6606,2792,435,550,1575,6342,18089,32404,38029,36983,38606,42203,42342,38737,33395,25721,17115,9881,5307,3100,2029,1658,1607,1635,1685,1433,1204,959,496,72
130,0,11,41,52,531,3941,16559,29284,27414,24560,24284,26575,28640,30590,30673,29868,28059,26512,24228,20349,14293,9264,5600,3875,2904,2347,1811,1456,1154,802,477,102
131,0,599,10212,4907,2223,1918,7303,18506,23330,20573,17410,18530,22113,26805,30821,34046,33499,31186,26802,21347,16850,12550,9481,6923,5002,3414,2335,1891,1666,1399,1457,1158
132,0,1308,1795,958,602,520,1484,7953,17576,27525,37301,43723,47001,48706,45886,40071,31260,21581,12276,6266,3233,1980,1648,1587,1524,1355,1239,1102,939,815,675,223
133,0,0,18372,69759,33967,13189,52060,48140,80540,87868,86759,97248,94827,75670,47818,23441,10133,6595,6163,4287,2753,2305,2733,3364,2821,2806,2040,1133,254,11,0,0
134,0,41,899,9779,22139,24089,23808,30622,42782,55787,63931,58079,44921,32065,22117,14035,7940,3845,1598,560,178,42,7,0,0,0,0,0,0,0,0,0
135,270,4439,9168,8068,5180,4255,7205,11440,13634,13868,13065,11864,13783,17276,19877,20682,19162,16200,13053,10684,8750,7449,6013,4605,3529,2620,1976,1353,960,907,1111,962
136,0,17,1477,3275,12616,28936,40956,53341,72275,87429,90766,74681,53540,39816,29144,19646,12560,8369,5163,3063,1821,1444,1295,999,885,789,879,1173,1248,1151,785,189
137,0,0,43,1004,7021,25316,57296,91062,113158,116213,95934,71768,53363,44625,36825,24770,14245,6346,1878,667,396,313,311,374,392,489,577,618,947,690,465,894
138,0,21,4221,10694,1659,11044,41876,63780,75914,67880,58350,67222,74334,64657,40878,17227,5396,2993,4962,9387,3682,2066,4779,2753,106,13,9,1,0,0,0,0
139,20,126,350,17944,25812,35805,28728,9276,9804,22636,64590,120891,147209,130808,76846,46371,30443,20539,14074,9823,6511,3472,1776,1009,659,451,260,98,31,6,0,0
140,0,7,103,503,6198,21658,40191,55560,67080,72964,71031,62940,54780,48361,42843,31630,19248,10434,4962,2212,1073,676,345,312,325,535,1086,1813,1916,1905,2007,1990
141,73,1122,865,2635,7675,14780,18772,27377,45190,67954,80526,72588,52299,29813,15374,8333,4190,1985,1550,1241,1141,1280,2516,2149,751,59,48,30,17,3,0,0
142,0,65,1051,1475,2853,10001,37477,93083,104241,141148,145639,110821,87153,63383,48983,44754,39222,31731,22923,15556,10326,6147,3525,2052,1289,1027,1096,1035,1101,1412,1567,1592
143,0,0,26,109,450,2525,15252,32881,40793,42033,40779,43040,47069,46739,43180,38768,34190,29556,25318,20752,16518,11829,8465,5854,4681,3815,3143,2612,2165,1766,1860,8296
144,0,105,2184,6045,18095,38181,31534,28649,37845,49778,57907,56849,45619,31311,20178,12272,7785,3549,1660,1264,949,993,960,794,684,845,1118,1329,1234,785,295,4
145,65,3814,46340,5296,2189,3123,8960,26992,57375,88061,110095,107837,85244,55902,33982,21799,14166,8637,4087,2064,1050,772,717,527,283,180,78,26,3,0,0,0
146,0,11,1312,8020,11022,9642,19552,46830,77509,100953,112350,105062,79707,53944,32864,17211,8692,4042,1959,958,498,328,191,55,16,8,0,0,0,0,0,0
147,20654,33376,2769,3948,4643,10498,25329,45845,65021,72881,71102,63146,53133,41971,29442,18632,8444,2604,781,428,382,477,462,283,310,263,198,159,140,156,56,3
148,34,14237,16757,5099,2067,4460,15684,31740,41817,38758,35013,37791,42943,47190,49029,49424,46527,40234,31040,21902,14536,9718,6784,4704,3488,2904,2661,3069,3062,2848,2687,3089
149,0,238,1875,24651,22711,10288,25945,49424,67151,74434,78117,83185,87013,84190,74287,60453,46806,35240,25497,18463,13649,10372,7773,6249,4499,2949,1940,1203,744,482,205,31
150,0,18,1863,2831,5882,14654,31863,52511,73672,97399,117730,120029,91881,64043,41622,24658,13511,6675,3151,1362,565,208,116,65,33,34,32,24,21,10,1,0
151,4,6930,2831,2080,1675,4043,12889,27079,40634,53447,63250,67935,65684,56512,42666,27915,16217,9872,6856,5343,5005,4732,4391,3269,1244,347,116,25,1,0,0,0
