,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
66,0,0,7329,16506,8155,4166,2907,2471,2797,4122,7683,14187,27491,38245,34080,33337,37016,43461,50701,56990,61000,62955,61431,58679,53588,48457,43698,37844,32609,27435,22468,18291,14501,11356,8821,6729,5294,3932,2889,2146,1593,1247,989,782,628,544,459,404,315,294,274,256,198,173,159,136,110,88,64,60,26,8,2,0
67,0,0,7,59,2425,21681,25730,31080,11743,5042,6911,11987,19166,26385,32644,35879,37998,38444,37874,35794,34100,32427,30583,28719,27230,24957,22898,20667,18580,16255,14495,12887,10995,9544,8448,7451,7627,7299,5946,3972,3021,2431,2009,1581,1331,1012,726,444,368,270,190,151,115,106,96,78,79,61,60,79,73,67,58,17
68,0,0,0,5,11,17,33,123,308,640,1624,4267,9354,11337,10772,9713,9237,8765,8950,9635,10493,10988,12143,13289,14502,15402,15783,15743,15169,14275,12963,11788,10761,9576,8466,7328,6256,5208,4169,3409,2926,2533,1903,1406,834,647,481,473,437,474,500,491,500,532,554,523,450,387,318,262,204,113,37,1
69,0,0,6189,12713,6277,2619,1852,1711,2179,3250,5110,8093,12506,17413,21247,23412,24424,25318,26573,28324,29966,30197,29261,29024,27871,26862,25529,23967,22544,20646,18725,16627,14899,12998,11613,9930,8477,7328,6443,5597,4627,4033,3336,2827,2484,2136,1820,1449,1270,1040,908,751,634,563,447,349,286,200,133,147,99,91,80,16
70,0,0,0,6,147,713,1468,3485,6287,9319,11965,14119,16445,18935,22120,26259,31273,36649,41515,45461,47480,46751,44822,40115,34609,28763,22390,16731,12261,9099,6529,4976,3863,2969,2262,1536,959,626,405,285,199,177,238,188,129,106,121,168,188,252,308,481,528,571,580,444,252,172,121,91,66,31,0,0
71,0,0,0,60,971,9362,29756,26823,20689,7414,3332,7721,16657,23138,13273,12951,23132,36776,44711,46007,45428,45597,46049,45370,42408,38171,32967,28138,23553,17697,11991,7491,4589,3077,2421,2145,1969,1724,1460,1418,1567,2004,2490,2702,2611,2224,1543,979,549,261,54,3,1,0,0,0,0,0,0,0,0,0,0,0
72,0,0,136,915,2583,20433,41888,18814,12149,3851,2673,6400,16986,24160,27962,41841,53394,58161,55515,51443,49349,48355,44708,39482,34416,29623,24569,19102,14688,10251,6963,5202,3617,2563,2226,2208,1958,1310,988,1044,1015,1048,1067,1235,1644,2463,3164,3527,2791,1452,401,54,4,1,0,0,0,0,0,0,0,0,0,0
73,0,0,0,5,21,278,3832,22168,44686,45313,29698,19841,20994,29798,39576,49774,56986,61152,61265,58394,52080,43568,34338,25772,17981,12129,8172,5474,3694,2566,1672,1130,826,631,526,411,294,204,153,112,60,55,32,14,12,10,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,21,195,652,1272,3733,9683,16626,21736,24732,26471,28053,30011,32677,35683,38501,39425,38248,36958,34051,29378,24018,19720,15666,12268,9555,7188,5180,3618,2401,1514,879,530,320,217,114,66,30,18,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,3,79,2295,3807,4128,2911,1554,940,713,716,832,1212,1759,2694,3886,5389,7261,9245,11584,14191,16333,17632,18460,18663,18104,18166,17220,16294,14816,13818,12861,11590,9977,8292,7280,6123,5129,4120,2966,2184,1289,863,582,412,290,185,138,123,92,58,50,38,53,27,21,9,17,3,6,3,2,0
76,0,0,0,27,90,341,428,278,246,313,391,509,882,1487,2322,3660,5620,8446,12828,19725,29470,43789,53161,51064,49250,42756,33835,27850,24908,23989,24169,25172,24855,24318,23642,22554,20736,17964,15279,12935,10622,9064,8092,7042,5624,4506,3287,2429,1821,1240,965,742,712,676,640,626,628,576,576,534,563,462,405,47
77,0,0,0,0,5,96,200,183,175,193,268,413,634,1096,1826,2299,2931,4130,5460,7434,9547,11690,13538,16079,18500,21133,22946,23231,22559,19893,16716,13365,10556,8757,8026,7633,7560,7305,7029,6157,5510,4948,4134,3530,3037,2620,2363,2022,1788,1580,1465,1160,992,855,817,794,779,748,622,720,726,765,809,181
